new_clipi-j,event_order,id,score,event_type
clip16-17,16,3,0.136,all_activity
clip16-18,16,3,0.136,all_activity
clip16-19,16,3,0.036,all_activity
clip16-1,16,4,0.036,all_activity
clip16-2,16,4,0.036,all_activity
clip16-3,16,4,0.225,all_activity
clip16-4,16,4,0.136,all_activity
clip16-5,16,4,0.126,all_activity
clip16-6,16,4,0.036,all_activity
clip16-7,16,4,0.136,all_activity
clip16-8,16,4,0.136,all_activity
clip16-9,16,4,0.282,all_activity
clip16-10,16,4,0.036,all_activity
clip16-11,16,4,0.036,all_activity
clip16-12,16,4,0.036,all_activity
clip16-13,16,4,0.136,all_activity
clip16-14,16,4,0.283,all_activity
clip16-15,16,4,0.036,all_activity
clip16-16,16,4,0.036,all_activity
clip16-17,16,4,0.036,all_activity
clip16-18,16,4,0.264,all_activity
clip16-19,16,4,0.036,all_activity
clip17-1,17,0,0.457,all_question
clip17-2,17,0,0.409,all_question
clip17-3,17,0,0.422,all_question
clip17-1,17,1,0.136,all_question
clip17-2,17,1,0.036,all_question
clip17-3,17,1,0.136,all_question
clip17-1,17,2,0.136,all_question
clip17-2,17,2,0.136,all_question
clip17-3,17,2,0.136,all_question
clip17-1,17,3,0.136,all_question
clip17-2,17,3,0.136,all_question
clip17-3,17,3,0.136,all_question
clip17-1,17,4,0.136,all_question
clip17-2,17,4,0.136,all_question
clip17-3,17,4,0.136,all_question
clip18-1,18,0,0.499,single_activity
clip18-2,18,0,0.449,single_activity
clip18-3,18,0,0.188,single_activity
clip18-4,18,0,0.087,single_activity
clip18-5,18,0,0.036,single_activity
clip18-6,18,0,0.036,single_activity
clip18-7,18,0,0.192,single_activity
clip18-8,18,0,0.34,single_activity
clip18-9,18,0,0.036,single_activity
clip18-10,18,0,0.362,single_activity
clip18-11,18,0,0.298,single_activity
clip18-12,18,0,0.136,single_activity
clip18-13,18,0,0.271,single_activity
clip18-14,18,0,0.136,single_activity
clip18-15,18,0,0.42,single_activity
clip18-16,18,0,0.306,single_activity
clip18-17,18,0,0.214,single_activity
clip18-18,18,0,0.32,single_activity
clip18-1,18,1,0.136,single_activity
clip18-2,18,1,0.225,single_activity
clip18-3,18,1,0.036,single_activity
clip18-4,18,1,0.036,single_activity
clip18-5,18,1,0.036,single_activity
clip18-6,18,1,0.036,single_activity
clip18-7,18,1,0.036,single_activity
clip18-8,18,1,0.136,single_activity
clip18-9,18,1,0.036,single_activity
clip18-10,18,1,0.036,single_activity
clip18-11,18,1,0.036,single_activity
clip18-12,18,1,0.136,single_activity
clip18-13,18,1,0.136,single_activity
clip18-14,18,1,0.036,single_activity
clip18-15,18,1,0.136,single_activity
clip18-16,18,1,0.136,single_activity
clip18-17,18,1,0.136,single_activity
clip18-18,18,1,0.136,single_activity
clip18-1,18,2,0.225,single_activity
clip18-2,18,2,0.136,single_activity
clip18-3,18,2,0.036,single_activity
clip18-4,18,2,0.036,single_activity
clip18-5,18,2,0.251,single_activity
clip18-6,18,2,0.199,single_activity
clip18-7,18,2,0.136,single_activity
clip18-8,18,2,0.136,single_activity
clip18-9,18,2,0.207,single_activity
clip18-10,18,2,0.225,single_activity
clip18-11,18,2,0.115,single_activity
clip18-12,18,2,0.315,single_activity
clip18-13,18,2,0.136,single_activity
clip18-14,18,2,0.321,single_activity
clip18-15,18,2,0.214,single_activity
clip18-16,18,2,0.036,single_activity
clip18-17,18,2,0.292,single_activity
clip18-18,18,2,0.136,single_activity
clip18-1,18,3,0.036,single_activity
clip18-2,18,3,0.036,single_activity
clip18-3,18,3,0.036,single_activity
clip18-4,18,3,0.036,single_activity
clip18-5,18,3,0.136,single_activity
clip18-6,18,3,0.036,single_activity
clip18-7,18,3,0.036,single_activity
clip18-8,18,3,0.136,single_activity
clip18-9,18,3,0.036,single_activity
clip18-10,18,3,0.036,single_activity
clip18-11,18,3,0.036,single_activity
clip18-12,18,3,0.136,single_activity
clip18-13,18,3,0.136,single_activity
clip18-14,18,3,0.036,single_activity
clip18-15,18,3,0.115,single_activity
clip18-16,18,3,0.136,single_activity
clip18-17,18,3,0.136,single_activity
clip18-18,18,3,0.136,single_activity
clip18-1,18,4,0.136,single_activity
clip18-2,18,4,0.136,single_activity
clip18-3,18,4,0.036,single_activity
clip18-4,18,4,0.036,single_activity
clip18-5,18,4,0.036,single_activity
clip18-6,18,4,0.036,single_activity
clip18-7,18,4,0.036,single_activity
clip18-8,18,4,0.136,single_activity
clip18-9,18,4,0.036,single_activity
clip18-10,18,4,0.036,single_activity
clip18-11,18,4,0.036,single_activity
clip18-12,18,4,0.136,single_activity
clip18-13,18,4,0.136,single_activity
clip18-14,18,4,0.036,single_activity
clip18-15,18,4,0.136,single_activity
clip18-16,18,4,0.075,single_activity
clip18-17,18,4,0.225,single_activity
clip18-18,18,4,0.136,single_activity
clip19-1,19,0,0.307,none
clip19-2,19,0,0.452,none
clip19-3,19,0,0.411,none
clip19-1,19,1,0.136,none
clip19-2,19,1,0.136,none
clip19-3,19,1,0.136,none
clip19-1,19,2,0.136,none
clip19-2,19,2,0.225,none
clip19-3,19,2,0.136,none
clip19-1,19,3,0.214,none
clip19-2,19,3,0.136,none
clip19-3,19,3,0.136,none
clip19-1,19,4,0.136,none
clip19-2,19,4,0.136,none
clip19-3,19,4,0.175,none
clip20-1,20,0,0.433,all_question
clip20-2,20,0,0.036,all_question
clip20-3,20,0,0.189,all_question
clip20-4,20,0,0.036,all_question
clip20-5,20,0,0.036,all_question
clip20-6,20,0,0.293,all_question
clip20-7,20,0,0.208,all_question
clip20-8,20,0,0.425,all_question
clip20-9,20,0,0.328,all_question
clip20-1,20,1,0.036,all_question
clip20-2,20,1,0.036,all_question
clip20-3,20,1,0.036,all_question
clip20-4,20,1,0.136,all_question
clip20-5,20,1,0.136,all_question
clip20-6,20,1,0.136,all_question
clip20-7,20,1,0.036,all_question
clip20-8,20,1,0.136,all_question
clip20-9,20,1,0.136,all_question
clip20-1,20,2,0.136,all_question
clip20-2,20,2,0.32,all_question
clip20-3,20,2,0.136,all_question
clip20-4,20,2,0.261,all_question
clip20-5,20,2,0.338,all_question
clip20-6,20,2,0.136,all_question
clip20-7,20,2,0.136,all_question
clip20-8,20,2,0.136,all_question
clip20-9,20,2,0.136,all_question
clip20-1,20,3,0.136,all_question
clip20-2,20,3,0.136,all_question
clip20-3,20,3,0.136,all_question
clip20-4,20,3,0.036,all_question
clip20-5,20,3,0.244,all_question
clip20-6,20,3,0.136,all_question
clip20-7,20,3,0.136,all_question
clip20-8,20,3,0.136,all_question
clip20-9,20,3,0.136,all_question
clip20-1,20,4,0.036,all_question
clip20-2,20,4,0.036,all_question
clip20-3,20,4,0.036,all_question
clip20-4,20,4,0.036,all_question
clip20-5,20,4,0.136,all_question
clip20-6,20,4,0.036,all_question
clip20-7,20,4,0.136,all_question
clip20-8,20,4,0.175,all_question
clip20-9,20,4,0.165,all_question
clip21-1,21,0,0.446,single_question
clip21-2,21,0,0.136,single_question
clip21-3,21,0,0.321,single_question
clip21-4,21,0,0.304,single_question
clip21-5,21,0,0.136,single_question
clip21-6,21,0,0.288,single_question
clip21-1,21,1,0.225,single_question
clip21-2,21,1,0.036,single_question
clip21-3,21,1,0.036,single_question
clip21-4,21,1,0.036,single_question
clip21-5,21,1,0.036,single_question
clip21-6,21,1,0.036,single_question
clip21-1,21,2,0.136,single_question
clip21-2,21,2,0.307,single_question
clip21-3,21,2,0.036,single_question
clip21-4,21,2,0.036,single_question
clip21-5,21,2,0.305,single_question
clip21-6,21,2,0.136,single_question
clip21-1,21,3,0.136,single_question
clip21-2,21,3,0.136,single_question
clip21-3,21,3,0.136,single_question
clip21-4,21,3,0.136,single_question
clip21-5,21,3,0.136,single_question
clip21-6,21,3,0.136,single_question
clip21-1,21,4,0.075,single_question
clip21-2,21,4,0.075,single_question
clip21-3,21,4,0.075,single_question
clip21-4,21,4,0.075,single_question
clip21-5,21,4,0.075,single_question
clip21-6,21,4,0.075,single_question
clip22-1,22,0,0.442,all_activity
clip22-2,22,0,0.302,all_activity
clip22-3,22,0,0.273,all_activity
clip22-4,22,0,0.388,all_activity
clip22-5,22,0,0.133,all_activity
clip22-6,22,0,0.443,all_activity
clip22-7,22,0,0.42,all_activity
clip22-8,22,0,0.036,all_activity
clip22-9,22,0,0.036,all_activity
clip22-10,22,0,0.523,all_activity
clip22-1,22,1,0.303,all_activity
clip22-2,22,1,0.036,all_activity
clip22-3,22,1,0.036,all_activity
clip22-4,22,1,0.036,all_activity
clip22-5,22,1,0.036,all_activity
clip22-6,22,1,0.136,all_activity
clip22-7,22,1,0.136,all_activity
clip22-8,22,1,0.036,all_activity
clip22-9,22,1,0.179,all_activity
clip22-10,22,1,0.214,all_activity
clip22-1,22,2,0.225,all_activity
clip22-2,22,2,0.036,all_activity
clip22-3,22,2,0.036,all_activity
clip22-4,22,2,0.036,all_activity
clip22-5,22,2,0.136,all_activity
clip22-6,22,2,0.136,all_activity
clip22-7,22,2,0.214,all_activity
clip22-8,22,2,0.343,all_activity
clip22-9,22,2,0.036,all_activity
